,Year,Local Government Area,Offence Count,"Rate per 100,000 population"
445,2020,monash,12826.0,6387.699999999999
446,2020,mooneevalley,8403.0,6627.7
447,2020,moorabool,3403.0,6386.661640073017
448,2020,morningtonpeninsula,11331.0,6658.0
449,2020,moyne,672.0,3931.9
450,2020,northerngrampians,2756.0,11617.405126401094
451,2020,portphillip,13574.0,12275.9
452,2020,pyrenees,515.0,6826.6
453,2020,southgippsland,1743.0,5757.8
454,2020,stonnington,11589.0,10291.3
455,2020,surfcoast,1514.0,4225.9
456,2020,swanhill,2491.0,11586.6
457,2020,total,544431.0,8231.371136651745
458,2020,wangaratta,3083.0,10444.8
459,2020,warrnambool,3335.0,9416.1
460,2020,wellington,4843.0,10737.2
461,2020,westwimmera,169.0,4231.3
462,2020,whitehorse,9346.0,5286.4
463,2020,whittlesea,19078.0,6459.190984658493
464,2020,wodonga,3568.0,8362.6
465,2020,wyndham,18263.0,6356.9
466,2020,yarra,14202.0,14692.4
467,2020,yarraranges,8759.0,5513.1
468,2020,yarriambiack,505.0,7604.3
469,2021,alpine,747.0,3860.052790094206
470,2021,ballarat,10139.0,8932.7
471,2021,banyule,7351.0,5771.4
472,2021,basscoast,3144.0,7729.6
473,2021,bawbaw,4432.0,7692.0
474,2021,bayside,4298.0,4200.2
475,2021,benalla,4421.0,7870.6231389215245
476,2021,boroondara,7448.0,4386.6
477,2021,brimbank,16994.0,8642.6
478,2021,buloke,286.0,4664.100000000001
479,2021,campaspe,4078.0,8293.535108348418
480,2021,cardinia,6420.0,5369.1
481,2021,casey,19786.0,5354.0
482,2021,centralgoldfields,2008.0,5993.659152141865
483,2021,colacotway,2419.0,6309.504936028021
484,2021,darebin,12641.0,8410.7
485,2021,eastgippsland,4920.0,10149.1
486,2021,frankston,11748.0,8342.3
487,2021,gleneira,6840.0,4540.7
488,2021,glenelg,2791.0,7636.125777967198
489,2021,goldenplains,604.0,2426.5
490,2021,greaterbendigo,10464.0,8628.5
491,2021,greaterdandenong,16551.0,10337.899999999998
492,2021,greatergeelong,20086.0,7326.207017656568
493,2021,greatershepparton,9102.0,13282.5
494,2021,hindmarsh,452.0,7991.5
495,2021,hobsonsbay,5832.0,6320.8
496,2021,horsham,2424.0,11896.3
497,2021,hume,17888.0,7244.500000000001
498,2021,indigo,612.0,3547.6
499,2021,kingston,9603.0,6018.7
500,2021,knox,10043.0,6258.099999999999
501,2021,latrobe,11339.0,14703.6
502,2021,loddon,539.0,6997.300000000001
503,2021,macedonranges,2023.0,3920.6
504,2021,manningham,4012.0,3188.7
505,2021,maribyrnong,8622.0,9980.900000000001
506,2021,maroondah,7454.0,6421.7
507,2021,melbourne,33627.0,21962.6
508,2021,melton,12101.0,6672.9
509,2021,merribek,11638.0,6707.8
510,2021,mildura,6594.0,11575.3
511,2021,mitchell,4971.0,6630.484161058747
512,2021,monash,11482.0,5952.5
513,2021,mooneevalley,7888.0,6415.6
514,2021,moorabool,2675.0,4917.737620757587
515,2021,morningtonpeninsula,9011.0,5286.9
516,2021,moyne,706.0,4081.8999999999996
517,2021,northerngrampians,2685.0,11322.912050343366
518,2021,portphillip,12329.0,11919.2
519,2021,pyrenees,456.0,5985.0
520,2021,southgippsland,1698.0,5587.7
521,2021,stonnington,10602.0,9984.0
522,2021,surfcoast,1364.0,3623.0
523,2021,swanhill,2483.0,11613.1
524,2021,total,475378.0,7261.135576796262
525,2021,wangaratta,2338.0,7858.6
526,2021,warrnambool,3127.0,8825.1
527,2021,wellington,4386.0,9646.1
528,2021,westwimmera,216.0,5429.9
529,2021,whitehorse,7603.0,4444.2
530,2021,whittlesea,15345.0,5196.717503387243
531,2021,wodonga,3439.0,7959.4
532,2021,wyndham,15918.0,5371.9
533,2021,yarra,12150.0,13275.600000000002
534,2021,yarraranges,7610.0,4834.2
535,2021,yarriambiack,375.0,5760.4
536,2022,alpine,618.0,3188.3717350911625
537,2022,ballarat,10953.0,9446.200000000003
538,2022,banyule,7682.0,6032.3
539,2022,basscoast,2829.0,6768.300000000001
540,2022,bawbaw,4139.0,6985.899999999999
541,2022,bayside,4954.0,4848.4
542,2022,benalla,3984.0,7046.601814835122
543,2022,boroondara,7079.0,4176.4
544,2022,brimbank,16727.0,8655.4
545,2022,buloke,289.0,4723.8
546,2022,campaspe,4142.0,8440.652980181767
547,2022,cardinia,6159.0,5003.1
548,2022,casey,20949.0,5529.9
549,2022,centralgoldfields,2097.0,6198.095397980324
550,2022,colacotway,2233.0,5848.49539805099
551,2022,darebin,12671.0,8420.2
552,2022,eastgippsland,4877.0,9968.9
553,2022,frankston,12737.0,9028.3
554,2022,gleneira,6934.0,4571.0
555,2022,glenelg,2907.0,7978.79592703099
556,2022,goldenplains,600.0,2370.4
557,2022,greaterbendigo,10467.0,8534.2
558,2022,greaterdandenong,17016.0,10691.699999999999
559,2022,greatergeelong,19984.0,7145.697051302158
560,2022,greatershepparton,8921.0,12943.099999999999
561,2022,hindmarsh,265.0,4733.0
562,2022,hobsonsbay,5935.0,6464.9
563,2022,horsham,2386.0,11732.3
564,2022,hume,18186.0,7188.5
565,2022,indigo,730.0,4191.1
566,2022,kingston,10694.0,6683.500000000001
567,2022,knox,9133.0,5727.3
568,2022,latrobe,11186.0,14402.3
569,2022,loddon,457.0,5898.300000000001
570,2022,macedonranges,2027.0,3884.7
571,2022,manningham,3811.0,3012.9
572,2022,maribyrnong,8666.0,9901.1
573,2022,maroondah,7525.0,6504.500000000001
574,2022,melbourne,34547.0,21592.8
575,2022,melton,12036.0,6231.3
576,2022,merribek,11926.0,6825.199999999999
577,2022,mildura,7369.0,12879.3
578,2022,mitchell,5000.0,6465.2151474823295
579,2022,monash,11782.0,6045.9
580,2022,mooneevalley,7569.0,6151.8
581,2022,moorabool,2645.0,4802.711126299235
582,2022,morningtonpeninsula,9293.0,5477.3
583,2022,moyne,659.0,3772.2
584,2022,northerngrampians,2325.0,9839.61138277359
585,2022,portphillip,12598.0,12114.600000000002
586,2022,pyrenees,372.0,4862.1
587,2022,southgippsland,1942.0,6326.4
588,2022,stonnington,11314.0,10631.7
589,2022,surfcoast,1075.0,2781.2
590,2022,swanhill,2074.0,9771.500000000002
591,2022,total,480998.0,7260.376128565117
592,2022,wangaratta,2448.0,8186.499999999999
593,2022,warrnambool,2933.0,8248.3
594,2022,wellington,4481.0,9784.1
595,2022,westwimmera,117.0,2968.0
596,2022,whitehorse,7933.0,4599.7
597,2022,whittlesea,14068.0,4689.233059710675
598,2022,wodonga,3635.0,8319.2
599,2022,wyndham,17648.0,5709.0
600,2022,yarra,12835.0,13905.599999999999
601,2022,yarraranges,6973.0,4430.5
602,2022,yarriambiack,452.0,7024.100000000001
603,2023,alpine,803.0,4131.937459039596
604,2023,ballarat,11715.0,9931.7
605,2023,banyule,8072.0,6256.300000000001
606,2023,basscoast,2957.0,6924.099999999999
